id,endereco_tse,cep,bairro,nome_municipio,uf,municipio_id,latitude,longitude
19-0001,"RUA SACADURA CABRAL, 226",20221161,SAUDE,RIO DE JANEIRO,RJ,3304557,-22.896589614811244,-43.19035712958446
19-0002,RUA SACADURA CABRAL 226 FUNDOS SOBRADO,20221161,SAUDE,RIO DE JANEIRO,RJ,3304557,-22.896589614811244,-43.19035712958446
19-0003,"RUA CONDE DE BAEPENDI, 40",22231140,LARANJEIRAS,RIO DE JANEIRO,RJ,3304557,-22.93283853809176,-43.181063612422115
19-0004,RUA JARDIM BOTÂNICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0005,RUA MIGUEL LEMOS 97 -  TERREO,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0006,AV. PROF. MANOEL DE ABREU 286,20550170,MARACANÃ,RIO DE JANEIRO,RJ,3304557,-22.914207707511306,-43.23432783571392
19-0007,RUA ANTONIO BASILIO 76,20511190,TIJUCA,RIO DE JANEIRO,RJ,3304557,-22.926214350837025,-43.23723871424081
19-0008,RUA 24 DE MAIO 931 - FUNDOS,20950091,ENGENHO NOVO,RIO DE JANEIRO,RJ,3304557,-22.902343163177612,-43.26093339087249
19-0009,AV AYRTON SENNA 2001 BLOCO C,22775002,BARRA,RIO DE JANEIRO,RJ,3304557,-22.990040002676885,-43.36746024430989
19-0010,RUA ASSIS CARNEIRO 436,20740260,PIEDADE,RIO DE JANEIRO,RJ,3304557,-22.89279578595269,-43.311592375614
19-0011,"RUA FILOMENA NUNES, 961",21021380,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.840450987967333,-43.2633633179579
19-0012,AV. DOM HELDER CAMARA 10121 - TERCEIRO ANDAR,21380001,CASCADURA,RIO DE JANEIRO,RJ,-22.88246460313151,-43.323540029584773304557,
19-0013,AV. AYRTON SENNA 2001 BLOCO C - FRENTE,22775002,BARRA,RIO DE JANEIRO,RJ,3304557,-22.990040002676885,-43.36746024430989
19-0014,RUA GETULIO 127,20775000,TODOS OS SANTOS,RIO DE JANEIRO,RJ,3304557,-22.89254127151352,-43.27877026425329
19-0015,RUA JOAO VICENTE 1545,21610210,MARECHAL HERMES,RIO DE JANEIRO,RJ,3304557-22.860649219611894, -43.37127587561445
19-0016,RUA MINISTRO TAVARES DE LIRA 128,22221060,LARANJEIRAS,RIO DE JANEIRO,RJ,3304557,-22.932031343330433,-43.179051604449036
19-0017,RUA JARDIM BOTÂNICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0018,RUA MIGUEL LEMOS 97 - 3 ANDAR,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0019,AVENIDA PROFESSOR MANOEL DE ABREU 286,20550170,MARACANÃ,RIO DE JANEIRO,RJ,3304557,-22.914207707511306,-43.23432783571392
19-0020,RUA DIAS DA CRUZ 787 - SEGUNDO ANDAR,20720011,MEIER,RIO DE JANEIRO,RJ,3304557,-22.90462354115528,-43.29421421425218
19-0021,RUA FILOMENA NUNES 971,21021380,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.840450987967333,-43.2633633179579
19-0022,AV. MONSENHOR FELIX 512- XIV REGIÃO ADMINISTRATIVA,21235110,IRAJÁ,RIO DE JANEIRO,RJ,3304557,-22.845718459778382,-43.32370318276106
19-0023,RUA JOAO VICENTE 1545 A,21610210,MARECHAL HERMES,RIO DE JANEIRO,RJ,3304557-22.860649219611894, -43.37127587561445
19-0024,RUA FIGUEIREDO CAMARGO 1133 SALA 204,21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0025,PRAÇA DA SUPERINTENDÊNCIA 420,23570580,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.91249006469281,-43.684238273763334
19-0117,"PRAIA DA OLARIA, S/N - COCOTÁ",21910290,ILHA DO GOVERNADOR,RIO DE JANEIRO,RJ,3304557,-22.804226539441892,-43.18230256767426
19-0118,"AV. DOM HELDER CAMARA, 10.121 - 2 ANDAR",21380002,CASCADURA,RIO DE JANEIRO,RJ,3304557,-22.8822355173598,-43.32397855444994
19-0119,AV. AYRTON SENNA 2001 BLOCO C,22775002,BARRA,RIO DE JANEIRO,RJ,3304557,-22.990040002676885,-43.36746024430989
19-0120,RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE),23070140,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.903629887744664,-43.57259031508214
19-0121,RUA URANOS 1230 SALA 06,21060070,RAMOS,RIO DE JANEIRO,RJ,3304557,-22.859291687480585,-43.25844799955313
19-0122,RUA COXILHA S/N - ADMINISTRAÇÃO REGIONAL DE CAMPO GRANDE,23070150,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.903927608888065,-43.57357015842028
19-0123,RUA FERNÃO DIAS S/N,21615280,DEODORO,RIO DE JANEIRO,RJ,3304557,-22.856241681831158,-43.3863313183977
19-0124,"RUA FIGUEIREDO CAMARGO, N. 1133, SALA 303",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0125,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0160,RUA FILOMENA NUNES 961 - OLARIA,21021380,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.840450987967333,-43.2633633179579
19-0161,"RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320",21021320,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.840890309020367,-43.26613790260023
19-0162,RUA LUCENA S/N (ANTIGO PREDIO DO FORUM LEOPOLDINA),21021320,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.840890309020367,-43.26613790260023
19-0163,RUA MINISTRO TAVARES DE LIRA 128,22221060,CATETE,RIO DE JANEIRO,RJ,3304557,-22.93201158150599,-43.17912670629945
19-0164,RUA MINISTRO TAVARES DE LIRA 128,22221060,LARANJEIRAS,RIO DE JANEIRO,RJ,3304557,-22.932031343330433,-43.179051604449036
19-0165,RUA JARDIM BOTANICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0166,RUA JARDIM BOTANICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0167,"ESTRADA DO CAMBOATÁ 2300, SALAS 201/203-GUADALUPE SHOPPING",21665001,GUADALUPE,RIO DE JANEIRO,RJ,3304557,-22.835450528917175,-43.38197240711092
19-0168,AV DOM HELDER CAMARA 4175 - 2 ANDAR,20771001,DEL CASTILHO,RIO DE JANEIRO,RJ,3304557,-22.88467116823152,-43.27741974392567
19-0169,AV. DOS DEMOCRATICOS 1090 (ABRIGO CRISTO REDENTOR),21050434,HIGIENÓPOLIS,RIO DE JANEIRO,RJ,3304557,-22.869196186700318, -43.25780874043057
19-0170,"AV. PROFESSOR MANUEL DE ABREU, 286",20550170,MARACANÃ,RIO DE JANEIRO,RJ,3304557,-22.914207707511306,-43.23432783571392
19-0171,"RUA ANTONIO BASILIO, 76",20511190,TIJUCA,RIO DE JANEIRO,RJ,3304557,-22.926214350837025,-43.23723871424081
19-0173,RUA VISCONDE DE SANTA ISABEL 34 - 3. ANDAR,20560120,VILA ISABEL,RIO DE JANEIRO,RJ,3304557,-22.916466541443008, -43.25663738356521
19-0175,"ESTRADA DO CAMBOATÁ, 2300, SALAS 204, GUADALUPE SHOPPING",21665001,GUADALUPE,RIO DE JANEIRO,RJ,3304557,-22.835450528917175,-43.38197240711092
19-0176,"AV MONSENHOR FELIX, 512",21235110,IRAJÁ,RIO DE JANEIRO,RJ,3304557,-22.845718459778382,-43.32370318276106
19-0177,AV. MONSENHOR FELIX 512,21235110,PARADA DE LUCAS,RIO DE JANEIRO,RJ,3304557,-22.845738234172504, -43.32370318276106
19-0178,RUA FERNÃO DIAS  S/N,21615280,DEODORO,RIO DE JANEIRO,RJ,3304557,-22.856241681831158,-43.3863313183977
19-0179,AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA,22775002,BARRA,RIO DE JANEIRO,RJ,3304557,-22.990040002676885,-43.36746024430989
19-0180,"RUA GODOFREDO VIANA, 400",22730020,TAQUARA,RIO DE JANEIRO,RJ,3304557,-22.91460165113865,-43.36592067454444
19-0182,"RUA GODOFREDO VIANA, 400",22730020,TAQUARA,RIO DE JANEIRO,RJ,3304557,-22.91460165113865,-43.36592067454444
19-0185,PRAÇA SECA 09,21321010,PRAÇA SECA,RIO DE JANEIRO,RJ,3304557,-22.897873941485752,-43.353286494033675
19-0188,RUA LEOPOLDINA REGO 754 - XI R.A.,21021522,OLARIA,RIO DE JANEIRO,RJ,3304557,-22.841517686314447,-43.27123141663263
19-0189,RUA ÁPIA 257 - SALAS 201/202/206,21221250,VILA DA PENHA,RIO DE JANEIRO,RJ,3304557,-22.841928994285635,-43.30336999467326
19-0190,AV. MONSENHOR FÉLIX 512 - XIV R.A.,21235110,IRAJÁ,RIO DE JANEIRO,RJ,3304557,-22.845718459778382,-43.32370318276106
19-0191,"ESTRADA DA CACUIA, 1574",21921001,ILHA DO GOVERNADOR,RIO DE JANEIRO,RJ,3304557,-22.80953435769745,-43.18344025630177
19-0192,RUA ORCADAS 435 - SALA 12 - XX RA (ENTR TB P/ RUA ENEIDA DE MORAES),21920257,PORTUGUESA,RIO DE JANEIRO,RJ,3304557,-22.80140168117312,-43.19930176239286
19-0193,"RUA SACADURA CABRAL, 226",20221161,SAUDE,RIO DE JANEIRO,RJ,3304557,-22.896589614811244,-43.19035712958446
19-0204,RUA SACADURA CABRAL 226 - TERREO,20221161,SAUDE,RIO DE JANEIRO,RJ,3304557,-22.896589614811244,-43.19035712958446
19-0205,RUA MIGUEL LEMOS 97 - 1 ANDAR,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0206,RUA MIGUEL LEMOS 97  - 1 ANDAR,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0207,RUA GETÚLIO 127,20775000,TODOS OS SANTOS,RIO DE JANEIRO,RJ,3304557,-22.89254127151352,-43.27877026425329
19-0208,"RUA GETÚLIO, 127/ SEGUNDO ANDAR",20775000,TODOS OS SANTOS,RIO DE JANEIRO,RJ,3304557,-22.89254127151352,-43.27877026425329
19-0209,"RUA GODOFREDO VIANA, 400",22730020,TAQUARA,RIO DE JANEIRO,RJ,3304557,-22.91460165113865,-43.36592067454444
19-0210,"RUA GODOFREDO VIANA, 400",22730020,TAQUARA,RIO DE JANEIRO,RJ,3304557,-22.91460165113865,-43.36592067454444
19-0211,RUA JARDIM BOTÂNICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0212,RUA JARDIM BOTÂNICO 1060,22460000,JARDIM BOTÂNICO,RIO DE JANEIRO,RJ,3304557,-22.96463757406774,-43.219025272110954
19-0213,"RUA DIAS DA CRUZ, 787, 3 ANDAR",20720011,MEIER,RIO DE JANEIRO,RJ,3304557,-22.90462354115528,-43.29421421425218
19-0214,RUA DIAS DA CRUZ 720-A,20720013,MEIER,RIO DE JANEIRO,RJ,3304557,-22.90429272134966,-43.29414674166889
19-0215,AV DOM HELDER CAMARA 4175 - 1 ANDAR,20771000,DEL CASTILHO,RIO DE JANEIRO,RJ,3304557,-22.881542478296463,-43.27304107191331
19-0216,AV DOM HELDER CAMARA 4175 - 2 ANDAR,20771000,DEL CASTILHO,RIO DE JANEIRO,RJ,3304557,-22.881542478296463,-43.27304107191331
19-0217,RUA XAVIER CURADO S/N (CETEP - FAETEC),21610330,MARECHAL HERMES,RIO DE JANEIRO,RJ,3304557,-22.867672606288053,-43.376658812579855
19-0218,"RUA SIDÔNIO PAIS, 54, LOJA 5",21350032,CASCADURA,RIO DE JANEIRO,RJ,3304557,-22.878051393217554,-43.32565662958494
19-0219,"RUA SIDÔNIO PAES, 54 LOJA 06",21350032,CASCADURA,RIO DE JANEIRO,RJ,3304557,-22.878051393217554,-43.32565662958494
19-0220,"RUA SIDÔNIO PAIS, 54 - LOJA 4",21350032,CASCADURA,RIO DE JANEIRO,RJ,3304557,-22.878051393217554,-43.32565662958494
19-0228,"AV. PROFESSOR MANOEL DE ABREU, 286",20550170,MARACANÃ,RIO DE JANEIRO,RJ,3304557,-22.914207707511306,-43.23432783571392
19-0229,"RUA HADDOCK LOBO, 72 - SALA 106",20260132,ESTÁCIO,RIO DE JANEIRO,RJ,3304557,-22.91559773203305,-43.20874458782696
19-0230,RUA FIGUEIREDO CAMARGO 1133 - SALA 205,21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0231,"RUA FIGUEIREDO CAMARGO, 1133, SALA 201",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0232,"RUA FIGUEIREDO CAMARGO, 1133 SL 304",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0233,"RUA FIGUEIREDO CAMARGO, 1.133 - SALA 202",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0234,"RUA FIGUEIREDO CAMARGO, 1133, SALA 203",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0235,"RUA FIGUEIREDO CAMARGO, 1133 SL. 302",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0236,"RUA FIGUEIREDO CAMARGO, 1133/301",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0237,"RUA FIGUEIREDO CAMARGO, 1133, SALA 305",21870210,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87089685109666,-43.46039608089574
19-0238,RUA SILVA CARDOSO 349 SL 13 - XVII R.A.,21810030,BANGU,RIO DE JANEIRO,RJ,3304557,-22.87844625844007,-43.46312048725655
19-0240,RUA MARTINHO DE CAMPOS S/N,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0241,RUA MARTINHO DE CAMPOS S/N POSTO AGRICOLA,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0242,AV. CESARIO DE MELLO 3963,23050100,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.899934962848576,-43.60032713100446
19-0243,RUA MARTINHO DE CAMPOS S/N,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0244,RUA DOM PEDRITO 1 - XVIII R.A.,23070170,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.903236805929552,-43.572734912390885
19-0245,ANTIGA ESTRADA RIO-SAO PAULO 176,23087005,CAMPO GRANDE,RIO DE JANEIRO,RJ,3304557,-22.890440626884743,-43.56517843329765
19-0246,RUA MARTINHO DE CAMPOS S/N  POSTO AGRÍCOLA,23515040,SANTA CRUZ,RIO DE JANEIRO,RJ,3304557,-22.917710230715265,-43.68557858956168
19-0252,RUA MIGUEL LEMOS 97  3 ANDAR,22071000,COPACABANA,RIO DE JANEIRO,RJ,3304557,-22.977268289826437,-43.19275208089392
19-0253,NAO INFORMADO,0,CENTRO,RIO DE JANEIRO,RJ,3304557,-22.905920728845377,-43.183166102599145